epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7873,4.06201,30.7595,0.82795,0,0,0,0,3.85804,19.8527,0.67386,0.00016,0.00016,0.00016
2,51.6252,4.16365,19.8753,0.71471,0,0,0,0,4.39556,18.9265,0.75063,0.000333268,0.000333268,0.000333268
3,77.3871,3.8959,14.6222,0.7203,0,0,0,0,3.18441,14.3988,0.65337,0.000499408,0.000499408,0.000499408
4,103.861,3.75712,13.1647,0.67839,0.00022,0.06667,4e-05,2e-05,3.76596,13.5754,0.65162,0.00065842,0.00065842,0.00065842
5,129.275,3.68251,10.6902,0.69659,0.00022,0.06667,4e-05,0,3.74108,12.9997,0.67344,0.000810304,0.000810304,0.000810304
6,154.926,3.59347,11.1014,0.67186,0.00089,0.26667,0.00033,7e-05,4.04549,11.3527,0.69372,0.00095506,0.00095506,0.00095506
7,181.458,3.87056,9.75295,0.65349,0.00133,0.4,0.00139,0.00026,3.70478,9.75891,0.65735,0.00109269,0.00109269,0.00109269
8,207.334,3.45318,8.49102,0.69904,0.00133,0.4,0.00139,0.00024,3.61728,8.89359,0.66108,0.00122319,0.00122319,0.00122319
9,234.717,3.3721,7.57756,0.66726,0.00044,0.13333,0.01634,0.00165,4.2184,8.83896,0.67282,0.00134656,0.00134656,0.00134656
10,263.822,3.64931,8.73675,0.67626,0.00067,0.2,0.00039,5e-05,4.38335,8.30956,0.68169,0.0014628,0.0014628,0.0014628
11,291.156,3.78709,8.627,0.69209,0.55359,0.13333,0.1567,0.03567,4.17308,8.10246,0.66658,0.00157192,0.00157192,0.00157192
12,318.847,3.54622,6.96107,0.68279,0.01736,0.06667,0.00127,0.00025,4.74085,66.4303,0.65243,0.0015644,0.0015644,0.0015644
13,345.232,3.65002,6.21356,0.64866,0.06491,0.4,0.03117,0.00895,3.29869,14.3649,0.6539,0.0015248,0.0015248,0.0015248
14,372.328,3.60268,6.74567,0.63538,0.04877,0.33333,0.01675,0.00316,3.70141,10.5361,0.64958,0.0014852,0.0014852,0.0014852
15,398.547,3.54565,5.99725,0.66675,0.92935,0.46667,0.51591,0.11013,3.53797,4.50795,0.66308,0.0014456,0.0014456,0.0014456
16,424.264,3.25039,5.60127,0.68509,0.57279,0.35918,0.27529,0.08481,3.53348,4.66983,0.66228,0.001406,0.001406,0.001406
17,449.419,3.58368,5.98016,0.68339,0.07823,0.46667,0.03657,0.01345,3.13614,56.1715,0.64597,0.0013664,0.0013664,0.0013664
18,475.742,3.44375,4.78525,0.65336,0.51556,0.35615,0.23519,0.05198,3.91393,4.15021,0.62839,0.0013268,0.0013268,0.0013268
19,500.969,3.76262,5.47414,0.639,0.80789,0.33333,0.38396,0.09798,3.64946,4.3895,0.62881,0.0012872,0.0012872,0.0012872
20,525.923,3.41947,4.69169,0.66569,0.51934,0.53333,0.47298,0.21258,2.91113,3.67067,0.63736,0.0012476,0.0012476,0.0012476
21,550.408,3.32051,4.08449,0.67411,0.62973,0.53333,0.46833,0.14389,3.21992,3.44603,0.63911,0.001208,0.001208,0.001208
22,574.864,3.12862,3.96819,0.65469,0.63291,0.53333,0.47533,0.10172,3.47063,3.55005,0.6293,0.0011684,0.0011684,0.0011684
